slice_value,rows,actual_rate,mean_predicted_probability,slice_brier_score,mean_absolute_probability_error,target,slice_column
no_stop,15,0.0,0.14531806990315743,0.022442244639475296,0.14531806990315743,is_top10,strategy_type
one_stop,353,0.5609065155807366,0.5796916869144003,0.14737906755461055,0.3144664351409817,is_top10,strategy_type
three_plus_stop,153,0.40522875816993464,0.48218953890851574,0.15742154817146825,0.32635907016140997,is_top10,strategy_type
two_stop,368,0.5434782608695652,0.5164015814164469,0.1281491252019584,0.2966116651574788,is_top10,strategy_type
permanent,579,0.5181347150259067,0.5285147749295461,0.1351765582741548,0.30294137391356046,is_top10,circuit_type
semi-street,118,0.5084745762711864,0.5178350945227138,0.1705778648936969,0.33870647703837536,is_top10,circuit_type
street,192,0.5208333333333334,0.5390995943005134,0.13130418834756832,0.29636475718480215,is_top10,circuit_type
backmarker,312,0.1891025641025641,0.24907295878218663,0.131931624158444,0.3053257433498909,is_top10,constructor_tier
front,170,0.8764705882352941,0.8140054999267878,0.10452767860280517,0.23585080568065514,is_top10,constructor_tier
midfield,407,0.6191646191646192,0.6253808840687711,0.15890281906882944,0.33640340116728373,is_top10,constructor_tier
no_stop,15,0.0,0.08814762386032984,0.011990295609780223,0.08814762386032984,is_top5,strategy_type
one_stop,353,0.28328611898017,0.31441274501676253,0.096733252145106,0.22434575058555042,is_top5,strategy_type
three_plus_stop,153,0.19607843137254902,0.22514295113905727,0.10290477198059253,0.21787609119668583,is_top5,strategy_type
two_stop,368,0.2717391304347826,0.2809116008559488,0.08251189595695455,0.20296325855535033,is_top5,strategy_type
permanent,579,0.25906735751295334,0.280197859927672,0.09279715055048923,0.21335289018144277,is_top5,circuit_type
semi-street,118,0.2542372881355932,0.28507395510252476,0.0645930100336146,0.18610598069911255,is_top5,circuit_type
street,192,0.2604166666666667,0.28259878327014093,0.09939570267635038,0.22421852228393468,is_top5,circuit_type
backmarker,312,0.00641025641025641,0.07495862881783728,0.011156946949178624,0.08041160710912738,is_top5,constructor_tier
front,170,0.6764705882352942,0.6455351674531888,0.1808705687737294,0.3468808556351321,is_top5,constructor_tier
midfield,407,0.27764127764127766,0.2874795659210804,0.11352957279332021,0.2567165074694003,is_top5,constructor_tier
