Date,MSFT,AAPL,META,ORCL,GOOGL,AMZN,NVDA,ADBE,CRM,INTC,^GSPC
,MSFT,AAPL,META,ORCL,GOOGL,AMZN,NVDA,ADBE,CRM,INTC,^GSPC
2021-05-17,235.26,123.08,313.0,73.91,113.51,163.52,14.13,482.74,211.95,50.63,4163.29
2021-05-18,233.25,121.7,307.55,73.55,112.2,161.61,13.98,480.62,211.23,50.18,4127.83
2021-05-19,233.83,121.54,311.15,73.59,112.64,161.59,14.03,480.47,218.14,50.66,4115.68
2021-05-20,237.06,124.1,316.13,73.57,114.4,162.38,14.58,491.67,220.54,51.2,4159.12
2021-05-21,235.8,122.26,313.77,73.86,113.77,160.15,14.95,488.07,219.36,51.32,4155.86
2021-05-24,241.19,123.89,322.1,74.19,117.08,162.25,15.57,497.83,223.71,52.12,4197.05
2021-05-25,242.1,123.7,325.24,73.68,117.18,162.95,15.61,505.08,224.42,52.04,4188.13
2021-05-26,241.88,123.65,325.11,74.08,118.04,163.26,15.66,506.98,226.36,52.09,4195.99
2021-05-27,239.78,122.12,330.16,73.82,117.17,161.51,15.45,498.28,222.56,52.83,4200.88
2021-05-28,240.14,121.46,326.17,73.59,116.88,161.15,16.2,504.58,234.65,52.27,4204.11
2021-06-01,237.94,121.14,326.57,74.37,118.08,160.93,16.22,495.91,232.78,52.06,4202.04
2021-06-02,237.85,121.9,326.59,75.02,117.56,161.7,16.74,495.77,231.23,52.6,4208.12
2021-06-03,236.32,120.42,323.5,75.79,116.42,159.35,16.93,493.14,227.5,51.47,4192.85
2021-06-04,241.2,122.71,327.78,77.47,118.7,160.31,17.53,504.5,234.04,52.5,4229.89
2021-06-07,244.11,122.72,333.96,78.45,119.13,159.9,17.57,509.47,234.69,52.24,4226.52
2021-06-08,242.92,123.54,331.08,79.08,118.94,163.21,17.41,509.2,233.0,52.16,4227.26
2021-06-09,243.9,123.92,327.68,78.99,119.41,164.06,17.32,514.68,232.67,52.16,4219.55
2021-06-10,247.41,122.93,329.87,76.92,120.76,167.48,17.39,535.52,236.71,52.51,4239.18
2021-06-11,248.03,124.13,328.68,77.48,120.51,167.34,17.78,541.26,236.83,52.94,4247.44
2021-06-14,249.96,127.19,334.15,77.22,121.44,169.19,17.98,556.95,242.7,53.25,4255.15
2021-06-15,248.48,126.37,334.13,76.3,120.42,169.16,17.75,548.46,239.07,53.07,4246.59
2021-06-16,247.54,126.86,328.5,72.04,119.78,170.76,17.77,543.33,238.88,52.36,4223.7
2021-06-17,250.93,128.46,333.89,72.49,120.75,174.46,18.61,551.36,240.89,52.33,4221.86
2021-06-18,249.51,127.17,327.09,71.25,119.13,174.35,18.6,565.59,239.27,50.94,4166.45
2021-06-21,252.59,128.96,329.7,72.89,120.81,172.7,18.39,567.35,240.94,51.13,4224.79
2021-06-22,255.36,130.6,336.39,73.54,121.33,175.27,18.84,575.74,239.59,51.13,4246.44
2021-06-23,255.13,130.32,337.94,72.99,121.13,175.19,19.01,574.23,238.34,50.57,4241.84
2021-06-24,256.5,130.04,340.51,72.66,121.5,172.45,19.16,578.26,240.24,51.31,4266.49
2021-06-25,254.89,129.75,338.71,73.33,121.5,170.07,18.99,579.66,238.37,51.16,4280.7
2021-06-28,258.45,131.38,352.87,73.37,121.53,172.19,19.94,588.8,241.03,52.6,4290.61
2021-06-29,261.03,132.89,349.15,72.99,121.27,172.41,19.98,590.75,242.25,51.93,4291.8
2021-06-30,260.54,133.5,345.0,72.75,121.09,172.01,19.96,585.64,240.74,51.37,4297.5
2021-07-01,261.22,133.8,351.63,74.34,121.44,171.65,20.17,584.73,241.44,51.26,4319.94
2021-07-02,267.04,136.43,351.94,76.47,124.23,175.55,20.44,593.07,244.61,51.94,4352.34
2021-07-06,267.05,138.43,350.03,77.65,125.16,183.79,20.65,596.9,246.63,51.33,4343.54
2021-07-07,269.23,140.92,347.76,80.46,125.44,184.83,20.33,605.77,244.85,51.21,4358.13
2021-07-08,266.82,139.62,342.96,79.99,124.02,186.57,19.86,605.95,242.24,50.69,4320.82
2021-07-09,267.32,141.45,347.69,82.02,124.49,185.97,20.0,604.5,241.51,51.24,4369.55
2021-07-12,266.72,140.85,350.41,81.39,125.93,185.93,20.47,600.2,239.4,51.91,4384.63
2021-07-13,270.24,141.96,349.35,81.38,126.3,183.87,20.2,605.01,240.49,52.04,4369.21
2021-07-14,271.71,145.38,344.92,82.81,127.19,184.08,19.8,608.83,238.92,51.72,4374.3
2021-07-15,270.29,144.73,341.78,80.9,125.96,181.56,18.92,606.17,234.14,51.07,4360.03
2021-07-16,270.02,142.69,338.5,82.07,125.93,178.68,18.12,606.1,234.98,50.3,4327.16
2021-07-19,266.42,138.85,334.33,81.59,123.56,177.48,18.74,602.05,234.11,50.0,4258.49
2021-07-20,268.64,142.46,339.0,83.17,125.17,178.66,18.57,608.72,236.64,50.55,4323.06
2021-07-21,270.64,141.73,343.53,84.14,126.5,179.26,19.37,612.26,238.61,51.46,4358.69
2021-07-22,275.2,143.09,348.46,85.07,127.37,181.9,19.55,623.68,244.69,51.21,4367.48
2021-07-23,278.6,144.81,366.91,82.26,131.92,182.83,19.51,625.87,244.66,48.5,4411.79
2021-07-26,278.0,145.23,369.56,82.42,132.94,184.99,19.25,620.8,244.02,49.7,4422.3
